FREQUENCY [Hz],MAG [Ω],PHASE [deg]
<segment> 49.9  # 3.251 m, 49.9 ohm resistor load
199128.719,7.13090e+3,-90.8908
201783.883,7.00374e+3,-90.6851
204474.450,6.90915e+3,-90.7372
207200.894,6.80780e+3,-90.8319
209963.691,6.69519e+3,-90.9821
212763.328,6.59103e+3,-90.9476
215600.294,6.49361e+3,-90.7991
218475.089,6.37047e+3,-90.8523
221388.215,6.29021e+3,-90.8896
224340.185,6.20309e+3,-90.7807
227331.517,6.09829e+3,-90.9271
230362.734,6.01924e+3,-90.7134
233434.369,5.91802e+3,-90.6036
236546.962,5.81871e+3,-90.7167
239701.057,5.74197e+3,-90.7677
242897.209,5.65428e+3,-90.7237
246135.978,5.58175e+3,-90.7800
249417.932,5.48658e+3,-90.7682
252743.648,5.41799e+3,-90.5583
256113.708,5.34107e+3,-90.5850
259528.705,5.25724e+3,-90.4955
262989.236,5.18279e+3,-90.5676
266495.911,5.10408e+3,-90.4581
270049.342,5.03782e+3,-90.6668
273650.155,4.96395e+3,-90.5549
277298.981,4.89186e+3,-90.6982
280996.460,4.82281e+3,-90.6093
284743.241,4.74936e+3,-90.5246
288539.981,4.68315e+3,-90.5604
292387.347,4.62002e+3,-90.4713
296286.012,4.55291e+3,-90.5429
300236.663,4.49192e+3,-90.4769
304239.991,4.42041e+3,-90.5238
308296.699,4.35870e+3,-90.4960
312407.498,4.30359e+3,-90.4312
316573.111,4.23646e+3,-90.4095
320794.268,4.18165e+3,-90.4753
325071.709,4.11465e+3,-90.3491
329406.185,4.05983e+3,-90.3807
333798.456,4.01139e+3,-90.3790
338249.294,3.95626e+3,-90.4252
342759.479,3.89494e+3,-90.4147
347329.802,3.84951e+3,-90.3139
351961.066,3.78611e+3,-90.2739
356654.082,3.73816e+3,-90.3648
361409.675,3.68101e+3,-90.3530
366228.678,3.62954e+3,-90.3201
371111.937,3.57879e+3,-90.3143
376060.309,3.53166e+3,-90.2661
381074.663,3.48181e+3,-90.3176
386155.877,3.43400e+3,-90.2810
391304.844,3.39028e+3,-90.2521
396522.466,3.34011e+3,-90.1699
401809.660,3.29708e+3,-90.2279
407167.353,3.25087e+3,-90.2035
412596.485,3.20757e+3,-90.2411
418098.008,3.17303e+3,-90.1307
423672.889,3.13037e+3,-90.1199
429322.104,3.08828e+3,-90.1143
435046.645,3.04632e+3,-90.1013
440847.517,3.00508e+3,-90.0991
446725.737,2.96473e+3,-90.0865
452682.336,2.92473e+3,-90.0718
458718.361,2.88500e+3,-90.0611
464834.869,2.84634e+3,-90.0623
471032.934,2.80799e+3,-90.0516
477313.644,2.77099e+3,-90.0378
483678.100,2.73356e+3,-90.0311
490127.419,2.69673e+3,-90.0471
496662.733,2.66140e+3,-90.0043
503285.188,2.62460e+3,-90.0134
509995.946,2.58948e+3,-89.9979
516796.185,2.55549e+3,-89.9910
523687.097,2.52086e+3,-89.9760
530669.892,2.48678e+3,-89.9950
537745.796,2.45390e+3,-89.9813
544916.048,2.42077e+3,-89.9695
552181.909,2.38836e+3,-89.9767
559544.651,2.35683e+3,-89.9630
567005.568,2.32495e+3,-89.9771
574565.968,2.29409e+3,-89.9527
582227.177,2.26349e+3,-89.9462
589990.541,2.23355e+3,-89.9495
597857.420,2.20333e+3,-89.9396
605829.195,2.17375e+3,-89.9426
613907.266,2.14504e+3,-89.9383
622093.049,2.11648e+3,-89.9387
630387.980,2.08786e+3,-89.9235
638793.515,2.06061e+3,-89.9253
647311.129,2.03324e+3,-89.9070
655942.315,2.00621e+3,-89.9247
664688.590,1.97945e+3,-89.9244
673551.486,1.95296e+3,-89.9223
682532.559,1.92718e+3,-89.9181
691633.385,1.90134e+3,-89.9127
700855.561,1.87629e+3,-89.9092
710200.704,1.85140e+3,-89.9206
719670.454,1.82638e+3,-89.9104
729266.474,1.80238e+3,-89.8982
738990.445,1.77859e+3,-89.9009
748844.076,1.75503e+3,-89.8916
758829.093,1.73141e+3,-89.8957
768947.250,1.70803e+3,-89.8908
779200.322,1.68593e+3,-89.8692
789590.107,1.66300e+3,-89.8919
800118.429,1.64142e+3,-89.8829
810787.134,1.61949e+3,-89.8852
821598.094,1.59801e+3,-89.8839
832553.207,1.57691e+3,-89.8761
843654.395,1.55595e+3,-89.8800
854903.605,1.53543e+3,-89.8907
866302.810,1.51494e+3,-89.8818
877854.012,1.49483e+3,-89.8793
889559.236,1.47503e+3,-89.8755
901420.537,1.45529e+3,-89.8736
913439.995,1.43584e+3,-89.8728
925619.719,1.41688e+3,-89.8722
937961.847,1.39797e+3,-89.8767
950468.544,1.37979e+3,-89.8398
963142.003,1.36133e+3,-89.8714
975984.450,1.34320e+3,-89.8658
988998.136,1.32522e+3,-89.8670
1002185.346,1.30786e+3,-89.8598
1015548.393,1.29062e+3,-89.8690
1029089.621,1.27321e+3,-89.8638
1042811.407,1.25640e+3,-89.8708
1056716.158,1.23981e+3,-89.8599
1070806.313,1.22333e+3,-89.8652
1085084.346,1.20710e+3,-89.8693
1099552.760,1.19094e+3,-89.8591
1114214.095,1.17510e+3,-89.8657
1129070.923,1.15961e+3,-89.8653
1144125.850,1.14414e+3,-89.8527
1159381.518,1.12893e+3,-89.8661
1174840.604,1.11393e+3,-89.8549
1190505.820,1.09924e+3,-89.8554
1206379.915,1.08451e+3,-89.8609
1222465.673,1.07012e+3,-89.8522
1238765.917,1.05584e+3,-89.8504
1255283.508,1.04181e+3,-89.8504
1272021.342,1.02806e+3,-89.8493
1288982.357,1.01428e+3,-89.8540
1306169.528,1.00087e+3,-89.8526
1323585.872,987.617,-89.8502
1341234.444,974.349,-89.8507
1359118.340,961.436,-89.8502
1377240.698,948.572,-89.8458
1395604.698,935.874,-89.8387
1414213.562,923.429,-89.8443
1433070.555,911.183,-89.8462
1452178.986,898.964,-89.8370
1471542.206,886.953,-89.8416
1491163.614,875.140,-89.8378
1511046.651,863.521,-89.8344
1531194.808,851.879,-89.8378
1551611.618,840.615,-89.8350
1572300.664,829.400,-89.8310
1593265.575,818.296,-89.8342
1614510.031,807.422,-89.8370
1636037.759,796.605,-89.8298
1657852.535,785.968,-89.8299
1679958.187,775.326,-89.8382
1702358.595,764.981,-89.8242
1725057.687,754.732,-89.8312
1748059.446,744.648,-89.8234
1771367.910,734.657,-89.8164
1794987.165,724.775,-89.8225
1818921.358,715.084,-89.8199
1843174.688,705.483,-89.8172
1867751.409,696.036,-89.8146
1892655.833,686.622,-89.8183
1917892.331,677.447,-89.8192
1943465.330,668.267,-89.8152
1969379.317,659.233,-89.8076
1995638.839,650.481,-89.8090
2022248.503,641.685,-89.8037
2049212.977,632.968,-89.8064
2076536.994,624.251,-89.8191
2104225.346,615.558,-89.8196
2132282.892,607.224,-89.8189
2160714.555,598.952,-89.8046
2189525.323,590.820,-89.8119
2218720.252,582.803,-89.8102
2248304.462,574.971,-89.8114
2278283.146,567.140,-89.8081
2308661.563,559.384,-89.8063
2339445.043,551.699,-89.8047
2370638.987,544.348,-89.7900
2402248.868,536.785,-89.8049
2434280.232,529.549,-89.7906
2466738.700,522.322,-89.7906
2499629.966,515.178,-89.7813
2532959.801,508.015,-89.7812
2566734.052,501.075,-89.7826
2600958.647,494.289,-89.7807
2635639.589,487.462,-89.7823
2670782.964,480.695,-89.7767
2706394.937,474.028,-89.7734
2742481.757,467.541,-89.7594
2779049.755,461.109,-89.7630
2816105.348,454.680,-89.7632
2853655.036,448.467,-89.7655
2891705.408,442.234,-89.7642
2930263.141,436.054,-89.7601
2969334.999,430.036,-89.7581
3008927.837,424.010,-89.7486
3049048.603,418.172,-89.7467
3089704.335,412.278,-89.7428
3130902.167,406.480,-89.7377
3172649.327,400.812,-89.7321
3214953.140,395.178,-89.7252
3257821.028,389.665,-89.7236
3301260.512,384.196,-89.7156
3345279.215,378.702,-89.7212
3389884.858,373.328,-89.7124
3435085.270,368.055,-89.7069
3480888.379,362.801,-89.7048
3527302.223,357.724,-89.7115
3574334.945,352.642,-89.6993
3621994.797,347.561,-89.6909
3670290.140,342.561,-89.6870
3719229.450,337.667,-89.6792
3768821.311,332.849,-89.6732
3819074.426,328.020,-89.6711
3869997.612,323.302,-89.6640
3921599.802,318.627,-89.6529
3973890.051,313.968,-89.6544
4026877.534,309.397,-89.6523
4080571.547,304.910,-89.6450
4134981.511,300.437,-89.6363
4190116.972,296.075,-89.6277
4245987.604,291.653,-89.6310
4302603.210,287.434,-89.6193
4359973.724,283.137,-89.6158
4418109.210,278.911,-89.6059
4477019.870,274.760,-89.6012
4536716.039,270.607,-89.5900
4597208.191,266.592,-89.5795
4658506.940,262.560,-89.5788
4720623.041,258.592,-89.5657
4783567.393,254.628,-89.5686
4847351.038,250.830,-89.5445
4911985.169,246.979,-89.5382
4977481.125,243.163,-89.5363
5043850.398,239.407,-89.5232
5111104.633,235.708,-89.5170
5179255.630,232.034,-89.5060
5248315.345,228.394,-89.4895
5318295.897,224.820,-89.4885
5389209.563,221.247,-89.4872
5461068.785,217.756,-89.4731
5533886.171,214.281,-89.4570
5607674.498,210.806,-89.4445
5682446.711,207.431,-89.4351
5758215.930,204.054,-89.4271
5834995.449,200.732,-89.4144
5912798.739,197.475,-89.4021
5991639.451,194.173,-89.3930
6071531.417,190.963,-89.3843
6152488.656,187.770,-89.3656
6234525.371,184.601,-89.3453
6317655.956,181.469,-89.3379
6401894.997,178.365,-89.3247
6487257.273,175.306,-89.3095
6573757.761,172.288,-89.2921
6661411.640,169.247,-89.2794
6750234.287,166.277,-89.2636
6840241.287,163.323,-89.2537
6931448.432,160.404,-89.2203
7023871.724,157.505,-89.2025
7117527.380,154.618,-89.1825
7212431.833,151.818,-89.1660
7308601.732,148.963,-89.1463
7406053.952,146.167,-89.1260
7504805.590,143.405,-89.1035
7604873.974,140.669,-89.0730
7706276.661,137.925,-89.0536
7809031.442,135.235,-89.0274
7913156.345,132.533,-89.0085
8018669.640,129.893,-88.9794
8125589.840,127.241,-88.9509
8233935.703,124.640,-88.9185
8343726.241,122.044,-88.8920
8454980.715,119.464,-88.8613
8567718.647,116.890,-88.8228
8681959.815,114.370,-88.7943
8797724.265,111.852,-88.7564
8915032.307,109.343,-88.7250
9033904.523,106.854,-88.6864
9154361.771,104.389,-88.6405
9276425.185,101.922,-88.6007
9400116.180,99.5041,-88.5413
9525456.461,97.0605,-88.4868
9652468.016,94.6417,-88.4507
9781173.133,92.2421,-88.3897
9911594.391,89.8545,-88.3301
10043754.674,87.4779,-88.2774
10177677.171,85.1105,-88.2094
10313385.377,82.7530,-88.1436
10450903.104,80.4094,-88.0650
10590254.480,78.0658,-87.9923
10731463.955,75.7410,-87.9061
10874556.303,73.4276,-87.8092
11019556.631,71.1102,-87.7202
11166490.381,68.8048,-87.6171
11315383.331,66.5044,-87.5074
11466261.606,64.2233,-87.3969
11619151.679,61.9291,-87.2693
11774080.373,59.6385,-87.1233
11931074.872,57.3631,-86.9825
12090162.722,55.0825,-86.8110
12251371.834,52.7973,-86.6342
12414730.493,50.5307,-86.4327
12580267.362,48.2486,-86.2205
12748011.484,45.9806,-85.9737
12917992.291,43.7084,-85.7097
13090239.606,41.4322,-85.4091
13264783.650,39.1539,-85.0786
13441655.049,36.8681,-84.6908
13620884.835,34.5754,-84.2479
13802504.454,32.2790,-83.7459
13986545.773,29.9837,-83.1569
14173041.081,27.6760,-82.4697
14362023.101,25.3661,-81.6436
14553524.989,23.0423,-80.6449
14747580.346,20.7229,-79.4119
14944223.219,18.3970,-77.8506
15143488.110,16.0759,-75.8182
15345409.980,13.7606,-73.0876
15550024.258,11.4759,-69.1781
15757366.844,9.24788,-63.3088
15967474.117,7.14927,-53.7577
16180382.941,5.40289,-37.0684
16396130.671,4.44895,-9.21499
16614755.162,4.85297,22.6120
16836294.771,6.40035,44.3399
17060788.369,8.51637,56.7383
17288275.344,10.9029,64.0511
17518795.609,13.4480,68.7211
17752389.611,16.0971,71.9659
17989098.333,18.8328,74.2740
18228963.307,21.6422,76.0185
18472026.618,24.5259,77.3924
18718330.914,27.4760,78.4717
18967919.408,30.5124,79.3738
19220835.891,33.6125,80.1132
19477124.740,36.7959,80.7599
19736830.921,40.0911,81.3217
20000000.000,43.4871,81.8113
<segment> 5e-3     #  3.251 m, 5 mOhm load
100000.000,1.84117,49.3443
101333.391,1.85654,49.7009
102684.561,1.87318,50.0377
104053.747,1.88755,50.4086
105441.190,1.90305,50.8074
106847.133,1.91913,51.1884
108271.823,1.93513,51.5391
109715.510,1.95237,51.8997
111178.446,1.96946,52.3010
112660.889,1.98488,52.6521
114163.099,2.00148,53.0039
115685.339,2.02002,53.3956
117227.877,2.03751,53.7633
118790.983,2.05308,54.1296
120374.931,2.07560,54.4525
121979.999,2.09406,54.8511
123606.469,2.11125,55.1796
125254.626,2.13086,55.4758
126924.760,2.15071,55.8670
128617.163,2.17107,56.1529
130332.132,2.19085,56.5575
132069.969,2.21059,56.8468
133830.977,2.23365,57.2052
135615.467,2.25552,57.5501
137423.751,2.27691,57.8661
139256.147,2.29983,58.2225
141112.976,2.32212,58.5209
142994.563,2.34422,58.8189
144901.239,2.36739,59.1221
146833.339,2.39114,59.5202
148791.201,2.41374,59.8362
150775.169,2.43885,60.0857
152785.591,2.46141,60.4326
154822.820,2.48823,60.7083
156887.214,2.51514,61.0673
158979.133,2.54039,61.3324
161098.946,2.56676,61.6594
163247.025,2.59483,61.9464
165423.745,2.62248,62.2232
167629.490,2.65003,62.5633
169864.646,2.67837,62.8895
172129.606,2.70725,63.1157
174424.766,2.73796,63.4487
176750.530,2.76619,63.7464
179107.305,2.79342,64.0280
181495.505,2.82586,64.2887
183915.550,2.85724,64.5739
186367.863,2.88836,64.8690
188852.874,2.91940,65.1520
191371.021,2.95420,65.3615
193922.745,2.98612,65.6305
196508.493,3.01829,65.9158
199128.719,3.05297,66.2044
201783.883,3.08776,66.4258
204474.450,3.12232,66.6597
207200.894,3.15747,66.9177
209963.691,3.19006,67.1956
212763.328,3.23004,67.4223
215600.294,3.26893,67.6772
218475.089,3.30630,67.8836
221388.215,3.34483,68.1877
224340.185,3.38418,68.4079
227331.517,3.42411,68.6642
230362.734,3.46404,68.8909
233434.369,3.50412,69.1135
236546.962,3.54537,69.3133
239701.057,3.58918,69.5538
242897.209,3.62733,69.7573
246135.978,3.67177,69.9891
249417.932,3.71584,70.2356
252743.648,3.76034,70.4401
256113.708,3.80312,70.6459
259528.705,3.85107,70.8403
262989.236,3.89763,71.0707
266495.911,3.94357,71.2752
270049.342,3.99214,71.4866
273650.155,4.03970,71.6639
277298.981,4.08887,71.8624
280996.460,4.13763,72.0509
284743.241,4.18789,72.2424
288539.981,4.23848,72.4611
292387.347,4.29065,72.6254
296286.012,4.34165,72.7903
300236.663,4.39587,72.9463
304239.991,4.44961,73.1507
308296.699,4.50414,73.2941
312407.498,4.55863,73.4782
316573.111,4.61611,73.6599
320794.268,4.67336,73.8272
325071.709,4.73011,73.9779
329406.185,4.78877,74.1259
333798.456,4.85094,74.3244
338249.294,4.91128,74.5057
342759.479,4.97174,74.6600
347329.802,5.03219,74.8136
351961.066,5.09567,74.9721
356654.082,5.16024,75.1108
361409.675,5.22380,75.2767
366228.678,5.28845,75.4079
371111.937,5.35585,75.5725
376060.309,5.42473,75.7076
381074.663,5.49122,75.8337
386155.877,5.56006,75.9781
391304.844,5.63100,76.1151
396522.466,5.70146,76.2367
401809.660,5.77264,76.3764
407167.353,5.84563,76.5043
412596.485,5.91764,76.6402
418098.008,5.99391,76.7561
423672.889,6.06895,76.9058
429322.104,6.14458,77.0040
435046.645,6.22191,77.1277
440847.517,6.29730,77.2242
446725.737,6.37856,77.3270
452682.336,6.45830,77.4456
458718.361,6.53978,77.5527
464834.869,6.62387,77.6808
471032.934,6.70855,77.7788
477313.644,6.79301,77.8904
483678.100,6.87745,77.9920
490127.419,6.96740,78.0688
496662.733,7.05376,78.2011
503285.188,7.14895,78.3335
509995.946,7.23698,78.4240
516796.185,7.33106,78.5223
523687.097,7.42233,78.6206
530669.892,7.51688,78.6926
537745.796,7.61151,78.8095
544916.048,7.70759,78.8913
552181.909,7.80669,79.0008
559544.651,7.90680,79.0782
567005.568,8.00411,79.1561
574565.968,8.10784,79.2528
582227.177,8.21159,79.3364
589990.541,8.31493,79.4251
597857.420,8.42133,79.4980
605829.195,8.52432,79.5447
613907.266,8.63447,79.6143
622093.049,8.74361,79.7022
630387.980,8.85268,79.7828
638793.515,8.96699,79.8481
647311.129,9.08108,79.9367
655942.315,9.20179,80.0188
664688.590,9.31665,80.0959
673551.486,9.43347,80.1617
682532.559,9.55675,80.2402
691633.385,9.67495,80.3017
700855.561,9.79973,80.3840
710200.704,9.92518,80.4355
719670.454,10.0500,80.4947
729266.474,10.1788,80.5660
738990.445,10.3076,80.6352
748844.076,10.4379,80.6904
758829.093,10.5727,80.7471
768947.250,10.7036,80.8258
779200.322,10.8390,80.8767
789590.107,10.9809,80.9352
800118.429,11.1181,80.9918
810787.134,11.2591,81.0397
821598.094,11.4030,81.1001
832553.207,11.5478,81.1556
843654.395,11.6953,81.1940
854903.605,11.8420,81.2541
866302.810,11.9935,81.3144
877854.012,12.1462,81.3598
889559.236,12.3007,81.4179
901420.537,12.4515,81.4278
913439.995,12.6095,81.4720
925619.719,12.7673,81.5324
937961.847,12.9327,81.5783
950468.544,13.0940,81.6062
963142.003,13.2621,81.6723
975984.450,13.4318,81.7253
988998.136,13.5987,81.7613
1002185.346,13.7747,81.8278
1015548.393,13.9522,81.8906
1029089.621,14.1290,81.9300
1042811.407,14.3087,81.9778
1056716.158,14.4910,82.0179
1070806.313,14.6726,82.0516
1085084.346,14.8598,82.1113
1099552.760,15.0443,82.1391
1114214.095,15.2329,82.1777
1129070.923,15.4268,82.2308
1144125.850,15.6238,82.2749
1159381.518,15.8247,82.3013
1174840.604,16.0216,82.3521
1190505.820,16.2288,82.3718
1206379.915,16.4327,82.4199
1222465.673,16.6419,82.4559
1238765.917,16.8522,82.5035
1255283.508,17.0643,82.5270
1272021.342,17.2841,82.5769
1288982.357,17.4997,82.6052
1306169.528,17.7254,82.6245
1323585.872,17.9515,82.6654
1341234.444,18.1807,82.7068
1359118.340,18.4115,82.7537
1377240.698,18.6480,82.7829
1395604.698,18.8826,82.8267
1414213.562,19.1221,82.8482
1433070.555,19.3687,82.8860
1452178.986,19.6121,82.9174
1471542.206,19.8635,82.9443
1491163.614,20.1150,82.9830
1511046.651,20.3734,83.0211
1531194.808,20.6319,83.0553
1551611.618,20.8966,83.0803
1572300.664,21.1639,83.1118
1593265.575,21.4321,83.1340
1614510.031,21.7087,83.1736
1636037.759,21.9872,83.2098
1657852.535,22.2684,83.2348
1679958.187,22.5517,83.2646
1702358.595,22.8399,83.3109
1725057.687,23.1306,83.3220
1748059.446,23.4281,83.3640
1771367.910,23.7243,83.3949
1794987.165,24.0330,83.4203
1818921.358,24.3438,83.4468
1843174.688,24.6544,83.4799
1867751.409,24.9740,83.5050
1892655.833,25.2947,83.5335
1917892.331,25.6205,83.5720
1943465.330,25.9502,83.5929
1969379.317,26.2854,83.6287
1995638.839,26.6253,83.6558
2022248.503,26.9690,83.6894
2049212.977,27.3168,83.7022
2076536.994,27.6723,83.7331
2104225.346,28.0303,83.7581
2132282.892,28.3930,83.7915
2160714.555,28.7607,83.8161
2189525.323,29.1334,83.8465
2218720.252,29.5104,83.8761
2248304.462,29.8954,83.9063
2278283.146,30.2865,83.9272
2308661.563,30.6833,83.9484
2339445.043,31.0797,83.9727
2370638.987,31.4926,84.0117
2402248.868,31.9005,84.0393
2434280.232,32.3226,84.0689
2466738.700,32.7466,84.0853
2499629.966,33.1733,84.1187
2532959.801,33.6140,84.1424
2566734.052,34.0553,84.1591
2600958.647,34.5041,84.1889
2635639.589,34.9610,84.2193
2670782.964,35.4191,84.2390
2706394.937,35.8901,84.2613
2742481.757,36.3658,84.2892
2779049.755,36.8499,84.3095
2816105.348,37.3355,84.3418
2853655.036,37.8400,84.3676
2891705.408,38.3430,84.3793
2930263.141,38.8501,84.4090
2969334.999,39.3749,84.4354
3008927.837,39.9059,84.4646
3049048.603,40.4443,84.4781
3089704.335,40.9797,84.5061
3130902.167,41.5334,84.5266
3172649.327,42.1003,84.5534
3214953.140,42.6621,84.5762
3257821.028,43.2471,84.6028
3301260.512,43.8323,84.6249
3345279.215,44.4280,84.6473
3389884.858,45.0385,84.6669
3435085.270,45.6534,84.6918
3480888.379,46.2762,84.7095
3527302.223,46.9195,84.7282
3574334.945,47.5674,84.7618
3621994.797,48.2190,84.7734
3670290.140,48.8805,84.8017
3719229.450,49.5629,84.8209
3768821.311,50.2533,84.8428
3819074.426,50.9593,84.8672
3869997.612,51.6712,84.8896
3921599.802,52.3960,84.9131
3973890.051,53.1302,84.9338
4026877.534,53.8904,84.9492
4080571.547,54.6497,84.9722
4134981.511,55.4248,84.9967
4190116.972,56.2267,85.0145
4245987.604,57.0216,85.0289
4302603.210,57.8495,85.0502
4359973.724,58.6792,85.0675
4418109.210,59.5286,85.0886
4477019.870,60.3954,85.1094
4536716.039,61.2641,85.1253
4597208.191,62.1751,85.1473
4658506.940,63.0888,85.1623
4720623.041,64.0162,85.1832
4783567.393,64.9682,85.1959
4847351.038,65.9333,85.2168
4911985.169,66.9253,85.2344
4977481.125,67.9357,85.2493
5043850.398,68.9549,85.2678
5111104.633,70.0057,85.2828
5179255.630,71.0693,85.3017
5248315.345,72.1630,85.3152
5318295.897,73.2732,85.3246
5389209.563,74.4006,85.3376
5461068.785,75.5738,85.3575
5533886.171,76.7525,85.3695
5607674.498,77.9499,85.3831
5682446.711,79.1998,85.3979
5758215.930,80.4550,85.4075
5834995.449,81.7472,85.4227
5912798.739,83.0869,85.4315
5991639.451,84.4240,85.4397
6071531.417,85.8144,85.4537
6152488.656,87.2296,85.4658
6234525.371,88.6817,85.4727
6317655.956,90.1628,85.4785
6401894.997,91.6795,85.4900
6487257.273,93.2494,85.4978
6573757.761,94.8595,85.5030
6661411.640,96.4871,85.5136
6750234.287,98.1755,85.5114
6840241.287,99.9014,85.5126
6931448.432,101.683,85.5312
7023871.724,103.499,85.5328
7117527.380,105.359,85.5409
7212431.833,107.324,85.5332
7308601.732,109.287,85.5378
7406053.952,111.327,85.5318
7504805.590,113.443,85.5304
7604873.974,115.607,85.5382
7706276.661,117.830,85.5307
7809031.442,120.148,85.5230
7913156.345,122.501,85.5159
8018669.640,124.975,85.5097
8125589.840,127.513,85.5029
8233935.703,130.135,85.5000
8343726.241,132.863,85.4822
8454980.715,135.669,85.4772
8567718.647,138.576,85.4599
8681959.815,141.617,85.4420
8797724.265,144.759,85.4326
8915032.307,148.035,85.3982
9033904.523,151.413,85.3830
9154361.771,154.957,85.3620
9276425.185,158.634,85.3323
9400116.180,162.488,85.3101
9525456.461,166.476,85.2824
9652468.016,170.689,85.2437
9781173.133,175.075,85.2061
9911594.391,179.686,85.1704
10043754.674,184.540,85.1271
10177677.171,189.622,85.0667
10313385.377,194.973,85.0200
10450903.104,200.614,84.9771
10590254.480,206.574,84.8953
10731463.955,212.904,84.8250
10874556.303,219.557,84.7625
11019556.631,226.645,84.6707
11166490.381,234.200,84.5820
11315383.331,242.268,84.4856
11466261.606,250.815,84.3818
11619151.679,259.999,84.3085
11774080.373,270.084,84.2376
11931074.872,281.200,84.0754
12090162.722,292.840,83.8873
12251371.834,305.434,83.6973
12414730.493,319.216,83.5049
12580267.362,334.285,83.2876
12748011.484,350.855,83.0503
12917992.291,369.311,82.7913
13090239.606,389.855,82.5041
13264783.650,412.845,82.1635
13441655.049,438.969,81.7792
13620884.835,468.470,81.3125
13802504.454,502.295,80.7792
13986545.773,541.790,80.1620
14173041.081,587.889,79.4252
14362023.101,642.971,78.5398
14553524.989,709.782,77.4772
14747580.346,792.083,76.1423
14944223.219,896.830,74.5148
15143488.110,1.03324e+3,72.2399
15345409.980,1.21719e+3,69.1663
15550024.258,1.47663e+3,64.7204
15757366.844,1.85455e+3,57.8719
15967474.117,2.43018e+3,46.1300
16180382.941,3.18030e+3,25.7957
16396130.671,3.53388e+3,-5.39387
16614755.162,2.94753e+3,-34.4232
16836294.771,2.19916e+3,-52.3061
17060788.369,1.67231e+3,-62.3930
17288275.344,1.32457e+3,-68.4836
17518795.609,1.08580e+3,-72.5870
17752389.611,914.534,-75.3923
17989098.333,786.749,-77.4434
18228963.307,687.581,-79.0515
18472026.618,608.664,-80.2674
18718330.914,544.686,-81.2552
18967919.408,491.434,-82.0470
19220835.891,446.607,-82.7186
19477124.740,408.429,-83.2962
19736830.921,375.279,-83.7826
20000000.000,346.116,-84.1974
