FREQUENCY [Hz],MAG [Ω],PHASE [deg]
<segment> 49.9  # 3.251 m, 49.9 ohm resistor load
1551611.618,56.3219,18.1336
1572300.664,56.4411,18.3344
1593265.575,56.5568,18.5325
1614510.031,56.6739,18.7357
1636037.759,56.7936,18.9330
1657852.535,56.9265,19.1403
1679958.187,57.0483,19.3375
1702358.595,57.1783,19.5521
1725057.687,57.3047,19.7529
1748059.446,57.4434,19.9752
1771367.910,57.5766,20.1799
1794987.165,57.7195,20.3915
1818921.358,57.8614,20.6093
1843174.688,58.0111,20.8234
1867751.409,58.1640,21.0383
1892655.833,58.3184,21.2552
1917892.331,58.4714,21.4723
1943465.330,58.6321,21.6970
1969379.317,58.7916,21.9219
1995638.839,58.9673,22.1439
2022248.503,59.1342,22.3733
2049212.977,59.3057,22.5915
2076536.994,59.4921,22.8244
2104225.346,59.6616,23.0495
2132282.892,59.8522,23.2847
2160714.555,60.0445,23.5196
2189525.323,60.2407,23.7496
2218720.252,60.4259,23.9869
2248304.462,60.6365,24.2178
2278283.146,60.8512,24.4565
2308661.563,61.0608,24.6947
2339445.043,61.2628,24.9379
2370638.987,61.4985,25.1830
2402248.868,61.7107,25.4209
2434280.232,61.9487,25.6653
2466738.700,62.1819,25.9037
2499629.966,62.4261,26.1520
2532959.801,62.6655,26.3982
2566734.052,62.9104,26.6382
2600958.647,63.1702,26.8901
2635639.589,63.4382,27.1430
2670782.964,63.6936,27.3794
2706394.937,63.9698,27.6378
2742481.757,64.2512,27.8927
2779049.755,64.5341,28.1350
2816105.348,64.8220,28.3908
2853655.036,65.1266,28.6455
2891705.408,65.4295,28.8944
2930263.141,65.7299,29.1414
2969334.999,66.0436,29.3978
3008927.837,66.3761,29.6623
3049048.603,66.7018,29.9094
3089704.335,67.0411,30.1653
3130902.167,67.3880,30.4264
3172649.327,67.7422,30.6813
3214953.140,68.0980,30.9370
3257821.028,68.4693,31.1957
3301260.512,68.8437,31.4496
3345279.215,69.2214,31.7024
3389884.858,69.6226,31.9499
3435085.270,70.0170,32.2062
3480888.379,70.4196,32.4650
3527302.223,70.8535,32.7166
3574334.945,71.2733,32.9739
3621994.797,71.6945,33.2229
3670290.140,72.1449,33.4773
3719229.450,72.6041,33.7324
3768821.311,73.0719,33.9852
3819074.426,73.5506,34.2414
3869997.612,74.0402,34.4873
3921599.802,74.5327,34.7432
3973890.051,75.0412,34.9869
4026877.534,75.5616,35.2299
4080571.547,76.0884,35.4719
4134981.511,76.6302,35.7169
4190116.972,77.1959,35.9626
4245987.604,77.7508,36.2005
4302603.210,78.3396,36.4432
4359973.724,78.9230,36.6841
4418109.210,79.5265,36.9156
4477019.870,80.1466,37.1531
4536716.039,80.7706,37.3844
4597208.191,81.4314,37.6160
4658506.940,82.0918,37.8416
4720623.041,82.7693,38.0687
4783567.393,83.4455,38.2835
4847351.038,84.1654,38.5097
4911985.169,84.8815,38.7295
4977481.125,85.6138,38.9411
5043850.398,86.3778,39.1584
5111104.633,87.1452,39.3605
5179255.630,87.9441,39.5742
5248315.345,88.7512,39.7687
5318295.897,89.5809,39.9655
5389209.563,90.4164,40.1572
5461068.785,91.2928,40.3560
5533886.171,92.1747,40.5452
5607674.498,93.0744,40.7260
5682446.711,94.0069,40.9031
5758215.930,94.9446,41.0727
5834995.449,95.9238,41.2428
5912798.739,96.9353,41.4099
5991639.451,97.9361,41.5674
6071531.417,98.9927,41.7211
6152488.656,100.054,41.8734
6234525.371,101.154,42.0144
6317655.956,102.271,42.1487
6401894.997,103.413,42.2823
6487257.273,104.603,42.4087
6573757.761,105.808,42.5327
6661411.640,107.030,42.6481
6750234.287,108.310,42.7421
6840241.287,109.604,42.8371
6931448.432,110.937,42.9388
7023871.724,112.293,43.0205
7117527.380,113.681,43.0942
7212431.833,115.150,43.1606
7308601.732,116.599,43.2203
7406053.952,118.117,43.2702
7504805.590,119.656,43.3013
7604873.974,121.266,43.3402
7706276.661,122.879,43.3576
7809031.442,124.561,43.3622
7913156.345,126.285,43.3596
8018669.640,128.052,43.3539
8125589.840,129.864,43.3245
8233935.703,131.723,43.2971
8343726.241,133.640,43.2472
8454980.715,135.622,43.1806
8567718.647,137.624,43.1024
8681959.815,139.718,43.0152
8797724.265,141.876,42.9081
8915032.307,144.070,42.7840
9033904.523,146.328,42.6387
9154361.771,148.647,42.4926
9276425.185,151.055,42.3207
9400116.180,153.530,42.1299
9525456.461,156.050,41.9275
9652468.016,158.680,41.6865
9781173.133,161.373,41.4353
9911594.391,164.130,41.1629
10043754.674,166.991,40.8554
10177677.171,169.946,40.5249
10313385.377,172.946,40.1748
10450903.104,176.054,39.8028
10590254.480,179.239,39.3788
10731463.955,182.540,38.9354
10874556.303,185.914,38.4702
11019556.631,189.379,37.9613
11166490.381,192.956,37.4203
11315383.331,196.628,36.8423
11466261.606,200.368,36.2297
11619151.679,204.242,35.5913
11774080.373,208.319,34.9075
11931074.872,212.558,34.1050
12090162.722,216.640,33.2958
12251371.834,220.845,32.4340
12414730.493,225.143,31.5254
12580267.362,229.476,30.5592
12748011.484,233.913,29.5447
12917992.291,238.444,28.4582
13090239.606,243.009,27.3228
13264783.650,247.560,26.0953
13441655.049,252.160,24.8204
13620884.835,256.617,23.4602
13802504.454,261.062,22.0296
13986545.773,265.428,20.5187
14173041.081,269.615,18.9534
14362023.101,273.662,17.2956
14553524.989,277.472,15.5656
14747580.346,281.065,13.7633
14944223.219,284.297,11.8928
15143488.110,287.117,9.93340
15345409.980,289.625,7.93121
15550024.258,291.582,5.84978
15757366.844,293.000,3.73087
15967474.117,293.850,1.54754
16180382.941,294.060,-642.827e-3
16396130.671,293.610,-2.89181
16614755.162,292.628,-5.14508
16836294.771,290.857,-7.41424
17060788.369,288.486,-9.68317
17288275.344,285.428,-11.9260
17518795.609,281.705,-14.1490
17752389.611,277.542,-16.3200
17989098.333,272.642,-18.4532
18228963.307,267.502,-20.5273
18472026.618,261.765,-22.5374
18718330.914,255.645,-24.4770
18967919.408,249.311,-26.3299
19220835.891,242.673,-28.1134
19477124.740,235.988,-29.7842
19736830.921,229.152,-31.3870
20000000.000,222.121,-32.9008
<segment> j*w*69.16e-9 + 1/(1/92.2 + j*w*820.9e-12)  # 3.251 m, L + (R || C) load
100000.000,93.3227,-2.15200
101333.391,93.3293,-2.18510
102684.561,93.3213,-2.21684
104053.747,93.2963,-2.26015
105441.190,93.3087,-2.28049
106847.133,93.3028,-2.31424
108271.823,93.2856,-2.34120
109715.510,93.2907,-2.37522
111178.446,93.2933,-2.40659
112660.889,93.2842,-2.44351
