FREQUENCY [ Hz],MAG [ohm],PHASE [deg]
1970000.000,73.4845,-70.9070
1975000.000,73.7289,-71.4197
1980000.000,72.6794,-70.3558
1985000.000,72.4607,-70.2440
1990000.000,72.1619,-69.5327
1995000.000,70.8896,-69.4677
2000000.000,71.8312,-68.7736
2005000.000,71.1852,-68.0633
2010000.000,70.9468,-68.9235
2015000.000,70.8716,-67.7621
2020000.000,70.1585,-67.6950
2025000.000,70.1061,-66.8555
2030000.000,68.6311,-66.7654
2035000.000,68.7612,-66.5174
2040000.000,68.7304,-65.2925
2045000.000,69.0923,-65.4417
2050000.000,68.5932,-64.2235
2055000.000,68.8332,-64.3241
2060000.000,68.5499,-64.0155
2065000.000,68.3077,-63.1222
2070000.000,67.7778,-62.7670
2075000.000,67.6761,-62.2100
2080000.000,67.1429,-61.7112
2085000.000,67.9692,-60.6901
2090000.000,67.9753,-60.7993
2095000.000,66.6558,-59.9801
2100000.000,67.6708,-60.1319
2105000.000,67.3148,-58.7569
2110000.000,67.4333,-58.6736
2115000.000,67.2797,-57.8534
2120000.000,67.0496,-57.5239
2125000.000,68.0808,-56.8968
2130000.000,66.3152,-56.3564
2135000.000,67.2649,-56.0981
2140000.000,67.8506,-55.0975
2145000.000,67.0714,-54.9280
2150000.000,68.2866,-54.2389
2155000.000,68.1567,-55.0578
2160000.000,67.8059,-54.0290
2165000.000,68.3120,-53.4966
2170000.000,68.6808,-52.2928
2175000.000,68.8208,-51.9937
2180000.000,67.7748,-51.4594
2185000.000,69.3388,-50.4505
2190000.000,69.7193,-50.9390
2195000.000,69.8479,-48.8811
2200000.000,69.5397,-49.8841
2205000.000,69.9552,-48.3370
2210000.000,69.7606,-48.7612
2215000.000,70.2301,-48.4679
2220000.000,71.1529,-47.9225
2225000.000,71.2770,-46.8032
2230000.000,71.1618,-46.7249
2235000.000,72.7463,-45.7802
2240000.000,73.9952,-45.4063
2245000.000,73.4849,-45.6690
2250000.000,74.4402,-45.5462
2255000.000,73.9109,-44.9261
2260000.000,75.9042,-44.8132
2265000.000,74.5373,-44.9573
2270000.000,76.1341,-43.9704
2275000.000,76.6278,-43.8972
2280000.000,78.8392,-43.5266
2285000.000,79.5936,-43.4893
2290000.000,80.0679,-43.6430
2295000.000,80.8297,-42.9752
2300000.000,80.7213,-43.1230
2305000.000,82.2512,-43.6273
2310000.000,83.0614,-43.0022
2315000.000,83.1731,-43.8080
2320000.000,83.8507,-43.2980
2325000.000,84.9230,-43.6852
2330000.000,84.9513,-42.5888
2335000.000,85.0992,-43.3184
2340000.000,87.4997,-43.1488
2345000.000,87.2905,-43.2866
2350000.000,87.3175,-43.6930
2355000.000,91.3740,-43.0242
2360000.000,89.9315,-44.3796
2365000.000,89.2644,-43.5226
2370000.000,90.4986,-44.2190
2375000.000,92.1978,-43.5297
2380000.000,93.1351,-44.1234
2385000.000,93.5720,-45.4073
2390000.000,92.7897,-44.5028
2395000.000,95.8276,-45.5392
2400000.000,94.3716,-44.8963
2405000.000,95.3745,-46.1194
2410000.000,96.7744,-47.1034
2415000.000,97.6139,-45.2185
2420000.000,96.1728,-47.5064
2425000.000,96.9479,-46.8231
2430000.000,99.6745,-47.5404
2435000.000,98.7288,-47.6058
2440000.000,97.7379,-47.8500
2445000.000,99.7832,-48.6018
2450000.000,99.5305,-48.5903
2455000.000,101.445,-49.5393
2460000.000,101.659,-50.0215
2465000.000,102.539,-50.0278
2470000.000,100.998,-50.7531
2475000.000,101.782,-51.5179
2480000.000,103.281,-51.0923
2485000.000,102.262,-51.5741
2490000.000,103.760,-51.6817
2495000.000,103.394,-52.8304
2500000.000,103.234,-52.6574
2505000.000,104.031,-53.4272
2510000.000,103.365,-53.7435
2515000.000,104.821,-53.5643
2520000.000,103.646,-55.6536
2525000.000,103.364,-54.5540
2530000.000,103.187,-55.3509
2535000.000,104.534,-56.0591
2540000.000,104.380,-56.5689
2545000.000,104.490,-57.5225
2550000.000,103.951,-56.5937
2555000.000,103.295,-58.3455
2560000.000,104.219,-57.7472
2565000.000,104.195,-58.3652
2570000.000,103.952,-59.0740
2575000.000,103.221,-59.7895
2580000.000,102.801,-59.5434
2585000.000,102.257,-59.4897
2590000.000,103.466,-60.8547
2595000.000,102.650,-61.2094
2600000.000,102.303,-61.5468
2605000.000,102.129,-61.9315
2610000.000,101.672,-62.8136
2615000.000,102.698,-62.7986
2620000.000,100.884,-62.9686
2625000.000,101.177,-63.5513
2630000.000,100.647,-63.6901
2635000.000,100.935,-64.3445
2640000.000,99.7233,-64.8204
2645000.000,99.9955,-65.9365
2650000.000,99.6627,-65.5329
2655000.000,98.1349,-65.9381
2660000.000,98.1510,-66.2999
2665000.000,97.3669,-66.4971
2670000.000,97.1907,-67.2674
2675000.000,96.1917,-67.1025
2680000.000,96.8807,-67.9293
2685000.000,95.7472,-68.0231
2690000.000,94.9184,-68.6306
2695000.000,94.8711,-68.5187
2700000.000,94.3972,-68.9267
2705000.000,94.0756,-69.2943
2710000.000,92.3480,-69.7469
2715000.000,92.5677,-69.9669
2720000.000,91.8135,-70.3801
2725000.000,90.9929,-70.7119
2730000.000,91.1826,-70.7489
2735000.000,90.1087,-71.2323
2740000.000,89.5518,-71.4671
2745000.000,88.5399,-71.8567
2750000.000,88.1484,-72.0629
2755000.000,87.5136,-72.0575
2760000.000,86.8672,-72.4296
2765000.000,86.0949,-72.5250
2770000.000,85.4749,-72.9337
2775000.000,85.2147,-73.1461
2780000.000,84.2793,-73.6176
2785000.000,83.7276,-73.3574
2790000.000,82.8361,-73.4800
2795000.000,82.2013,-73.5453
2800000.000,81.8005,-73.7999
2805000.000,81.2888,-74.0182
2810000.000,80.4074,-73.9492
2815000.000,79.7502,-74.2852
2820000.000,78.9129,-74.2203
2825000.000,78.5884,-74.3115
2830000.000,77.9093,-74.3044
2835000.000,77.3493,-74.6189
2840000.000,76.8019,-74.4699
2845000.000,75.8242,-74.5014
2850000.000,75.2987,-74.7067
2855000.000,74.7516,-74.5088
2860000.000,74.1153,-74.5535
2865000.000,73.7579,-74.5836
2870000.000,73.3493,-74.7540
2875000.000,72.5486,-74.4859
2880000.000,71.8782,-74.5177
2885000.000,71.5015,-74.6703
2890000.000,70.7841,-74.3905
2895000.000,70.4754,-74.3605
2900000.000,70.0202,-74.3065
2905000.000,69.4612,-74.1955
2910000.000,68.9493,-74.1833
2915000.000,68.1261,-74.1311
2920000.000,67.9447,-73.9265
2925000.000,67.3047,-73.7978
2930000.000,67.0550,-73.7628
2935000.000,66.6070,-73.5980
2940000.000,66.2205,-73.3915
2945000.000,65.8649,-73.1786
2950000.000,65.4043,-73.1540
2955000.000,65.0620,-72.9437
2960000.000,64.5152,-72.6864
2965000.000,64.3969,-72.7299
2970000.000,63.9259,-72.5042
2975000.000,63.6238,-72.3518
2980000.000,63.2304,-72.2966
2985000.000,62.8555,-72.1051
2990000.000,62.6026,-71.7637
2995000.000,62.2043,-71.7061
3000000.000,62.2078,-71.5615
