Frequency, Mag (ohms), Phase (deg)
8833801.44599871, 5677.767189165068, 64.04382121846318
9082153.40856562, 5787.226916482251, 64.52691329363316
9337487.49515784, 5900.5781706321995, 65.01004480175347
9599999.9999999, 6017.9390975896795, 65.49261534094573
9869892.73589813, 6139.429676615294, 65.97405126584746
10147373.1893891, 6265.171818847755, 66.45380643126548
10432654.68025, 6395.28947169348, 66.93136275434328
10725956.5254932, 6529.908728787024, 67.40623060047271
11027504.2079714, 6669.157945282923, 67.87794899981516
11337529.5497234, 6813.167858231523, 68.34608570272147
11656270.8901923, 6962.07171178781, 68.81023708353938
11983973.2694553, 7116.005387003804, 69.27002790326569
12320888.6166037, 7275.107535960264, 69.72511094224657
12667275.9434196, 7439.519720002711, 70.17516651464989
13023401.5434975, 7609.386551859651, 70.61990187674643
13389539.1969637, 7784.8558414358495, 71.05905054115439
13765970.3809518, 7966.0787450920225, 71.49237150914128
14152984.4859944, 8153.209918241931, 71.91964843285787
14550879.0384996, 8346.407671118992, 72.34068871902373
14959959.9294814, 8545.83412758753, 72.75532258511133
15380541.6497206, 8751.655386896287, 73.16340207850776
15812947.5315372, 8964.041688295492, 73.56480006849095
16257509.9973603, 9183.167578461878, 73.9594092201609
16714570.8152854, 9409.212081699205, 74.34714095872862
17184481.3618169, 9642.358872903862, 74.72792443181322
17667602.8919974, 9882.79645330712, 75.10170547663064
18164306.8171312, 10130.718329025973, 75.46844559820372
18674974.9903156, 10386.323192474145, 75.82812096398149
19199999.9999997, 10649.815106703374, 76.18072141954067
19739785.4717962, 10921.403692763046, 76.52624952936264
20294746.3787782, 11201.304320180207, 76.86471964603017
20865309.3605, 11489.738300680357, 77.19615701059286
21451913.0509863, 11786.933085279821, 77.52059688628766
22055008.4159428, 12093.122464895134, 77.83808372729253
22675059.0994467, 12408.546774625485, 78.1486703837272
23312541.7803846, 12733.453101876541, 78.45241734369746
23967946.5389106, 13068.095498499953, 78.74939201280425
24641777.2332074, 13412.735197135598, 79.03966803121382
25334551.8868392, 13767.640831950246, 79.323324628096
26046803.0869949, 14133.088663971525, 79.60044601298799
26779078.3939274, 14509.362811225987, 79.87112080343218
27531940.7619035, 14896.755483894993, 80.13544148805767
28305968.9719887, 15295.567224706143, 80.39350392412602
29101758.0769992, 15706.107154786718, 80.64540686844725
29919919.8589628, 16128.69322520637, 80.89125154047392
