FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
65615.271,48.3916,12.1743
66874.03,48.4258,12.0137
68156.938,48.4566,11.8465
69464.458,48.4908,11.6893
70797.06,48.5305,11.5318
72155.227,48.555,11.3769
73539.449,48.5839,11.2318
74950.226,48.6094,11.0818
76388.068,48.6391,10.9366
77853.492,48.667,10.7947
79347.03,48.6924,10.6627
80869.219,48.7139,10.5275
82420.61,48.734,10.4008
84001.763,48.757,10.278
85613.248,48.7815,10.1598
87255.648,48.8019,10.0373
88929.556,48.8247,9.92501
90635.576,48.8429,9.81107
92374.324,48.8636,9.7055
94146.428,48.8787,9.59801
95952.529,48.8957,9.49647
97793.277,48.911,9.40304
99669.338,48.9243,9.30582
101581.389,48.9377,9.21298
103530.121,48.9558,9.12583
105516.238,48.9675,9.03864
107540.456,48.9777,8.95725
109603.507,48.9889,8.88462
111706.134,49.0003,8.79921
113849.099,49.0073,8.7278
116033.174,49.0183,8.66115
118259.149,49.0295,8.59902
120527.826,49.0335,8.53891
122840.026,49.043,8.47625
125196.582,49.0509,8.42148
127598.347,49.0646,8.36876
130046.187,49.0664,8.32134
132540.986,49.0791,8.26713
135083.646,49.0841,8.23002
137675.083,49.091,8.19532
140316.235,49.0908,8.14695
143008.054,49.0935,8.1284
145751.514,49.0885,8.09337
148547.603,49.1117,8.06373
151397.333,49.1059,8.04208
154301.731,49.1295,8.01836
157261.848,49.1317,8.00002
160278.751,49.1403,7.98638
163353.53,49.1459,7.97778
166487.295,49.1581,7.96881
169681.179,49.1578,7.95594
172936.334,49.1658,7.95288
176253.936,49.1717,7.95272
179635.182,49.1782,7.95874
183081.294,49.1853,7.96271
186593.516,49.1881,7.97203
190173.116,49.1974,7.98643
193821.388,49.2042,7.99258
197539.647,49.2149,8.01283
201329.237,49.223,8.03484
205191.527,49.2307,8.05575
209127.911,49.2413,8.07575
213139.809,49.2462,8.10842
217228.673,49.2588,8.13763
221395.976,49.2659,8.17534
225643.225,49.2736,8.20909
229971.953,49.2774,8.25358
234383.723,49.2925,8.29217
238880.128,49.3038,8.34037
243462.792,49.315,8.38056
248133.37,49.3259,8.43591
252893.547,49.335,8.49471
257745.044,49.3442,8.54997
262689.611,49.3558,8.61138
267729.035,49.3647,8.67242
272865.135,49.3765,8.73781
278099.766,49.3914,8.80366
283434.817,49.4015,8.88256
288872.216,49.4155,8.95409
294413.926,49.4306,9.03562
300061.947,49.4427,9.11884
305818.32,49.4606,9.19957
311685.123,49.4725,9.29428
317664.474,49.4915,9.38288
323758.533,49.5046,9.47681
329969.499,49.5209,9.57911
336299.617,49.5394,9.67346
342751.172,49.5536,9.78695
349326.492,49.575,9.89226
356027.954,49.5925,10.0047
362857.975,49.6142,10.1195
369819.024,49.629,10.2409
376913.613,49.6488,10.3592
384144.304,49.675,10.4904
391513.708,49.6985,10.6133
399024.487,49.7155,10.751
406679.352,49.7452,10.8919
414481.068,49.7693,11.0341
422432.451,49.7947,11.1786
430536.373,49.8229,11.3274
438795.76,49.8572,11.4792
447213.595,49.8809,11.6424
455792.918,49.9176,11.8018
464536.826,49.9475,11.9621
473448.476,49.9815,12.1423
482531.087,50.019,12.3049
491787.938,50.0519,12.4867
501222.372,50.0914,12.6681
510837.796,50.1296,12.8539
520637.682,50.1718,13.0387
530625.568,50.2125,13.2328
540805.062,50.2563,13.429
551179.838,50.3038,13.6342
561753.643,50.352,13.8385
572530.296,50.3997,14.0521
583513.687,50.4512,14.27
594707.784,50.5078,14.4881
606116.627,50.5652,14.7169
617744.337,50.6219,14.9427
629595.112,50.6869,15.175
641673.232,50.7501,15.4104
653983.058,50.8123,15.6473
666529.035,50.8776,15.9004
679315.693,50.9473,16.1512
692347.65,51.0173,16.4038
705629.612,51.093,16.669
719166.373,51.1723,16.9373
732962.824,51.253,17.2062
747023.944,51.3383,17.4785
761354.813,51.4238,17.758
775960.604,51.5177,18.0409
790846.592,51.6083,18.3332
806018.152,51.7044,18.6299
821480.762,51.8034,18.9237
837240.007,51.9067,19.2339
853301.575,52.0157,19.5406
869671.269,52.1236,19.8574
886354.997,52.2386,20.1771
903358.785,52.3607,20.5035
920688.773,52.4844,20.8295
938351.219,52.6049,21.1636
956352.5,52.7409,21.507
974699.116,52.8748,21.8461
993397.694,53.0171,22.201
1012454.983,53.1647,22.5537
1031877.867,53.3147,22.9138
1051673.359,53.4732,23.2835
1071848.606,53.6307,23.6466
1092410.894,53.8019,24.0234
1113367.647,53.972,24.4012
1134726.435,54.1481,24.7889
1156494.968,54.3356,25.1783
1178681.107,54.5246,25.5717
1201292.864,54.7208,25.9732
1224338.404,54.9264,26.3751
1247826.048,55.1378,26.7884
1271764.278,55.3539,27.2022
1296161.738,55.5794,27.6251
1321027.238,55.8101,28.0422
1346369.756,56.0539,28.4728
1372198.443,56.2984,28.9049
1398522.627,56.5568,29.3442
1425351.812,56.8212,29.7846
1452695.687,57.0955,30.225
1480564.126,57.3809,30.6756
1508967.191,57.6692,31.135
1537915.139,57.9677,31.596
1567418.423,58.2847,32.0578
1597487.697,58.6013,32.528
1628133.818,58.9324,32.9994
1659367.852,59.2802,33.4725
1691201.079,59.6288,33.9485
1723644.993,59.9896,34.4313
1756711.309,60.3682,34.914
1790411.967,60.7538,35.3994
1824759.137,61.1576,35.8923
1859765.222,61.5702,36.3932
1895442.861,61.9902,36.885
1931804.939,62.434,37.3846
1968864.584,62.8827,37.889
2006635.18,63.3431,38.3987
2045130.365,63.8272,38.9038
2084364.04,64.3203,39.4086
2124350.371,64.8323,39.9219
2165103.798,65.3524,40.4275
2206639.037,65.8933,40.946
2248971.086,66.4488,41.4586
2292115.23,67.0293,41.9799
2336087.05,67.6134,42.4871
2380902.422,68.2146,43.0053
2426577.531,68.8453,43.5233
2473128.868,69.4844,44.0435
2520573.244,70.1446,44.5576
2568927.79,70.8223,45.0812
2618209.967,71.5238,45.5989
2668437.571,72.2398,46.1158
2719628.739,72.9855,46.6347
2771801.955,73.7412,47.1459
2824976.06,74.5237,47.6619
2879170.254,75.3244,48.1724
2934404.107,76.1461,48.6885
2990697.562,76.9963,49.1958
3048070.949,77.8736,49.7042
3106544.984,78.7702,50.2089
3166140.781,79.6893,50.718
3226879.862,80.632,51.2176
3288784.157,81.603,51.716
3351876.022,82.5932,52.2137
3416178.237,83.6118,52.7056
3481714.023,84.6619,53.1972
3548507.044,85.7398,53.6813
3616581.419,86.8439,54.171
3685961.729,87.9728,54.6441
3756673.027,89.1364,55.1255
3828740.847,90.3254,55.5952
3902191.213,91.5434,56.0686
3977050.646,92.8008,56.5346
4053346.179,94.0792,56.9926
4131105.362,95.3926,57.4525
4210356.272,96.7464,57.9046
4291127.528,98.1257,58.3475
4373448.296,99.5478,58.7933
4457348.301,101.001,59.2284
4542857.839,102.481,59.6638
4630007.788,104.006,60.0912
4718829.616,105.572,60.513
4809355.399,107.169,60.928
4901617.823,108.807,61.3418
4995650.204,110.474,61.7458
5091486.498,112.197,62.1486
5189161.311,113.946,62.5523
5288709.912,115.748,62.9375
5390168.248,117.604,63.3213
5493572.956,119.487,63.7034
5598961.374,121.417,64.078
5706371.558,123.386,64.442
5815842.293,125.406,64.8034
5927413.11,127.467,65.1601
6041124.295,129.585,65.5103
6157016.91,131.743,65.8539
6275132.802,133.97,66.1951
6395514.624,136.244,66.5354
6518205.844,138.561,66.8554
6643250.766,140.931,67.1791
6770694.544,143.354,67.5026
6900583.196,145.843,67.8078
7032963.626,148.385,68.114
7167883.635,150.972,68.414
7305391.942,153.661,68.7001
7445538.201,156.359,68.9951
7588373.019,159.146,69.2709
7733947.973,162.009,69.5457
7882315.629,164.921,69.8223
8033529.563,167.902,70.0813
8187644.376,170.933,70.3334
8344715.721,174.044,70.598
8504800.314,177.256,70.8283
8667955.961,180.5,71.0667
8834241.578,183.834,71.2958
9003717.209,187.249,71.521
9176444.052,190.754,71.7399
9352484.478,194.332,71.9516
9531902.055,197.981,72.1652
9714761.568,201.731,72.3694
9901129.05,205.533,72.5575
10091071.795,209.5,72.7461
10284658.392,213.541,72.9218
10481958.744,217.632,73.1025
10683044.096,221.883,73.287
10887987.059,226.209,73.4556
11096861.637,230.61,73.6097
11309743.254,235.181,73.7789
11526708.781,239.791,73.9081
11747836.564,244.539,74.0553
11973206.45,249.4,74.1987
12202899.82,254.389,74.3204
12436999.616,259.488,74.4435
12675590.371,264.682,74.5501
12918758.238,270.08,74.6683
13166591.025,275.508,74.787
13419178.223,281.148,74.8582
13676611.041,286.914,74.9505
13938982.437,292.847,75.036
14206387.151,298.959,75.1105
14478921.744,305.161,75.1799
14756684.627,311.598,75.2975
15039776.098,318.149,75.3552
15328298.381,324.886,75.4105
15622355.661,331.752,75.4537
15922054.121,338.823,75.4982
16227501.98,346.103,75.532
16538809.534,353.516,75.5484
16856089.197,361.21,75.5663
17179455.537,369.093,75.5778
17509025.319,377.207,75.581
17844917.551,385.591,75.5854
18187253.522,394.139,75.5732
18536156.849,402.937,75.5587
18891753.519,412.033,75.525
19254171.937,421.302,75.4907
19623542.971,430.968,75.4455
20000000,440.898,75.3887
