FREQUENCY [Hz],MAG [Ω],PHASE [deg]
2221089.431,67.8283,-69.0069
2254608.788,66.9131,-69.2862
2288634,66.0023,-69.5579
2323172.699,65.1056,-69.8307
2358232.636,64.2202,-70.1012
2393821.677,63.333,-70.3616
2429947.807,62.461,-70.6285
2466619.13,61.596,-70.883
2503843.875,60.7398,-71.1419
2541630.394,59.8917,-71.3909
2579987.164,59.054,-71.6388
2618922.792,58.2182,-71.8839
2658446.013,57.3936,-72.1259
2698565.695,56.579,-72.3665
2739290.84,55.7778,-72.5999
2780630.584,54.9761,-72.8309
2822594.202,54.1856,-73.0674
2865191.111,53.4071,-73.2946
2908430.867,52.6356,-73.5099
2952323.171,51.8727,-73.74
2996877.872,51.1129,-73.9597
3042104.966,50.3656,-74.1725
3088014.6,49.6297,-74.3814
3134617.075,48.8953,-74.5965
3181922.847,48.1741,-74.7959
3229942.529,47.4576,-75.0016
3278686.896,46.7524,-75.2026
3328166.884,46.0548,-75.4045
3378393.594,45.3605,-75.5938
3429378.296,44.6755,-75.7887
3481132.428,43.9994,-75.979
3533667.603,43.334,-76.1614
3586995.607,42.6739,-76.3468
3641128.406,42.018,-76.5275
3696078.145,41.3773,-76.7056
3751857.152,40.7389,-76.88
3808477.943,40.1065,-77.0547
3865953.222,39.4822,-77.2243
3924295.882,38.868,-77.3958
3983519.016,38.2581,-77.5618
4043635.91,37.6557,-77.7213
4104660.052,37.0607,-77.8818
4166605.134,36.4762,-78.0405
4229485.054,35.8934,-78.1965
4293313.92,35.3199,-78.3448
4358106.054,34.7547,-78.4948
4423875.992,34.189,-78.6412
4490638.49,33.6362,-78.7841
4558408.529,33.0904,-78.9276
4627201.312,32.5478,-79.0675
4697032.275,32.0145,-79.2072
4767917.086,31.4831,-79.3443
4839871.647,30.9636,-79.4773
4912912.104,30.4454,-79.6067
4987054.844,29.9345,-79.7314
5062316.503,29.4302,-79.8572
5138713.965,28.9312,-79.9797
5216264.372,28.44,-80.1038
5294985.123,27.9502,-80.2258
5374893.881,27.4741,-80.3457
5456008.575,26.9973,-80.457
5538347.403,26.5254,-80.5718
5621928.84,26.0605,-80.6821
